ISIN,Risk_Stripe
ISIN13508,Stripe 0
ISIN13513,Stripe 6
ISIN13514,Stripe 6
ISIN13515,Stripe 6
ISIN13520,Stripe 1
ISIN13521,Stripe 1
ISIN13522,Stripe 1
ISIN13523,Stripe 1
ISIN13524,Stripe 0
ISIN13526,Stripe 5
ISIN13527,Stripe 5
ISIN13528,Stripe 5
ISIN13529,Stripe 5
ISIN13530,Stripe 5
ISIN13531,Stripe 5
ISIN13532,Stripe 5
ISIN13533,Stripe 5
ISIN13534,Stripe 5
ISIN13535,Stripe 5
ISIN13536,Stripe 5
ISIN13537,Stripe 5
ISIN13538,Stripe 5
ISIN13539,Stripe 5
ISIN13540,Stripe 5
ISIN13541,Stripe 5
ISIN13542,Stripe 6
ISIN13544,Stripe 6
ISIN13545,Stripe 5
ISIN13546,Stripe 5
ISIN13547,Stripe 5
ISIN13548,Stripe 0
ISIN13549,Stripe 0
ISIN13550,Stripe 0
ISIN13551,Stripe 0
ISIN13552,Stripe 0
ISIN13553,Stripe 0
ISIN13554,Stripe 0
ISIN13555,Stripe 0
ISIN13556,Stripe 0
ISIN13557,Stripe 0
ISIN13558,Stripe 0
ISIN13559,Stripe 0
ISIN13560,Stripe 5
ISIN13561,Stripe 5
ISIN13562,Stripe 5
ISIN13563,Stripe 5
ISIN13564,Stripe 6
ISIN13565,Stripe 6
ISIN13566,Stripe 6
ISIN13567,Stripe 6
ISIN13568,Stripe 6
ISIN13569,Stripe 6
ISIN13570,Stripe 5
ISIN13571,Stripe 5
ISIN13572,Stripe 6
ISIN13573,Stripe 6
ISIN13574,Stripe 6
ISIN13575,Stripe 6
ISIN13576,Stripe 6
ISIN13577,Stripe 5
ISIN13578,Stripe 5
ISIN13579,Stripe 0
ISIN13580,Stripe 0
ISIN13581,Stripe 8
ISIN13582,Stripe 5
ISIN13583,Stripe 2
ISIN13584,Stripe 0
ISIN13585,Stripe 0
ISIN13586,Stripe 5
ISIN13587,Stripe 8
ISIN13588,Stripe 5
ISIN13589,Stripe 5
ISIN13590,Stripe 5
ISIN13591,Stripe 5
ISIN13592,Stripe 5
ISIN13593,Stripe 5
ISIN13594,Stripe 5
ISIN13595,Stripe 5
ISIN13596,Stripe 5
ISIN13597,Stripe 5
ISIN13598,Stripe 5
ISIN13599,Stripe 5
ISIN13600,Stripe 5
ISIN13601,Stripe 0
ISIN13602,Stripe 0
ISIN13603,Stripe 5
ISIN13604,Stripe 5
ISIN13605,Stripe 5
ISIN13606,Stripe 0
ISIN13607,Stripe 0
ISIN13608,Stripe 0
ISIN13609,Stripe 0
ISIN13610,Stripe 0
ISIN13611,Stripe 0
ISIN13612,Stripe 0
ISIN13613,Stripe 0
ISIN13614,Stripe 5
ISIN13615,Stripe 5
ISIN13616,Stripe 5
ISIN13617,Stripe 5
ISIN13618,Stripe 5
ISIN13619,Stripe 5
ISIN13620,Stripe 5
ISIN13621,Stripe 5
ISIN13622,Stripe 5
ISIN13623,Stripe 5
ISIN13624,Stripe 5
ISIN13625,Stripe 5
ISIN13627,Stripe 5
ISIN13639,Stripe 5
ISIN13642,Stripe 2
ISIN13643,Stripe 2
ISIN13644,Stripe 5
ISIN13645,Stripe 0
ISIN13646,Stripe 0
ISIN13647,Stripe 0
ISIN13649,Stripe 0
ISIN13650,Stripe 0
ISIN13651,Stripe 0
ISIN13652,Stripe 0
ISIN13655,Stripe 0
ISIN13656,Stripe 0
ISIN13657,Stripe 0
ISIN13658,Stripe 0
ISIN13659,Stripe 0
ISIN13660,Stripe 0
ISIN13663,Stripe 0
ISIN13664,Stripe 0
ISIN13665,Stripe 0
ISIN13666,Stripe 0
ISIN13667,Stripe 0
ISIN13668,Stripe 0
ISIN13669,Stripe 0
ISIN13670,Stripe 0
ISIN13671,Stripe 0
ISIN13672,Stripe 5
ISIN13673,Stripe 5
ISIN13674,Stripe 5
ISIN13675,Stripe 5
ISIN13676,Stripe 5
ISIN13677,Stripe 5
ISIN13678,Stripe 5
ISIN13679,Stripe 2
ISIN13680,Stripe 2
ISIN13681,Stripe 2
ISIN13682,Stripe 2
ISIN13683,Stripe 2
ISIN13684,Stripe 2
ISIN13685,Stripe 2
ISIN13686,Stripe 2
ISIN13687,Stripe 2
ISIN13688,Stripe 2
ISIN13689,Stripe 2
ISIN13690,Stripe 2
ISIN13691,Stripe 2
ISIN13692,Stripe 2
ISIN13693,Stripe 2
ISIN13694,Stripe 2
ISIN13695,Stripe 2
ISIN13696,Stripe 2
ISIN13697,Stripe 2
ISIN13698,Stripe 2
ISIN13699,Stripe 2
ISIN13700,Stripe 2
ISIN13701,Stripe 5
ISIN13702,Stripe 5
ISIN13703,Stripe 5
ISIN13704,Stripe 5
ISIN13705,Stripe 5
ISIN13706,Stripe 5
ISIN13707,Stripe 5
ISIN13708,Stripe 0
ISIN13709,Stripe 5
ISIN13710,Stripe 5
ISIN13713,Stripe 5
