ISIN,SP_rating,Moody_rating,Currency,Is_Emerging_Market,Seniority,Callable,Days_to_Settle,Issue_Date,Collateral_Type,Coupon_Frequency,Coupon_Type,Maturity_Date,Industry_Group,Industry_Sector,Industry_SubGroup,Issuer_Name,Ticker,Country_Of_Domicile,Risk_Stripe
ISIN0,,,Currency0,N,Seniority0,N,2,14-Oct-14,Collateral Type0,Coupon Frequency0,Coupon Type0,14-Oct-21,Industry Group0,Industry Sector0,Industry SubGroup0,Issuer Name0,Ticker0,Country0,Stripe 6
ISIN1,sp_rating0,,Currency0,N,Seniority0,N,2,4-Feb-15,Collateral Type0,Coupon Frequency0,Coupon Type0,4-Feb-22,Industry Group1,Industry Sector1,Industry SubGroup1,Issuer Name1,Ticker1,Country0,Stripe 11
ISIN2,sp_rating1,moody_rating0,Currency1,N,Seniority1,Y,3,26-Oct-06,Collateral Type1,Coupon Frequency1,Coupon Type1,26-Apr-49,Industry Group2,Industry Sector2,Industry SubGroup2,Issuer Name2,Ticker2,Country1,Stripe 11
ISIN3,,moody_rating1,Currency0,N,Seniority0,N,2,30-Nov-12,Collateral Type2,Coupon Frequency0,Coupon Type0,30-Nov-22,Industry Group3,Industry Sector3,Industry SubGroup3,Issuer Name3,Ticker3,Country2,Stripe 6
ISIN4,,,Currency0,N,Seniority0,N,2,27-Mar-13,Collateral Type0,Coupon Frequency0,Coupon Type0,27-Mar-20,Industry Group4,Industry Sector4,Industry SubGroup4,Issuer Name4,Ticker4,Country2,Stripe 6
ISIN5,,,Currency0,N,Seniority0,N,2,4-Oct-13,Collateral Type0,Coupon Frequency0,Coupon Type0,4-Jan-21,Industry Group4,Industry Sector4,Industry SubGroup4,Issuer Name4,Ticker4,Country2,Stripe 6
ISIN6,,moody_rating1,Currency0,N,Seniority0,N,2,9-Oct-13,Collateral Type2,Coupon Frequency0,Coupon Type0,9-Oct-23,Industry Group3,Industry Sector3,Industry SubGroup3,Issuer Name3,Ticker3,Country2,Stripe 6
ISIN7,sp_rating2,moody_rating2,Currency0,N,Seniority1,Y,2,19-Mar-14,Collateral Type1,Coupon Frequency2,Coupon Type1,19-Mar-49,Industry Group5,Industry Sector2,Industry SubGroup5,Issuer Name5,Ticker5,Country2,Stripe 3
ISIN8,sp_rating1,,Currency0,N,Seniority2,Y,2,25-Nov-14,Collateral Type3,Coupon Frequency0,Coupon Type1,25-Nov-24,Industry Group5,Industry Sector2,Industry SubGroup5,Issuer Name5,Ticker5,Country2,Stripe 4
ISIN9,sp_rating1,,Currency0,N,Seniority2,Y,2,11-Mar-15,Collateral Type3,Coupon Frequency0,Coupon Type1,11-Mar-27,Industry Group5,Industry Sector2,Industry SubGroup5,Issuer Name5,Ticker5,Country2,Stripe 4
ISIN10,,,Currency0,N,Seniority0,N,2,2-Apr-15,Collateral Type0,Coupon Frequency0,Coupon Type0,2-Apr-22,Industry Group4,Industry Sector4,Industry SubGroup4,Issuer Name4,Ticker4,Country2,Stripe 6
ISIN11,sp_rating3,moody_rating3,Currency2,N,Seniority0,N,2,30-Jan-09,Collateral Type2,Coupon Frequency0,Coupon Type0,30-Jul-24,Industry Group6,Industry Sector4,Industry SubGroup6,Issuer Name6,Ticker6,Country2,Stripe 9
ISIN12,,moody_rating1,Currency0,N,Seniority0,N,2,8-Nov-11,Collateral Type2,Coupon Frequency0,Coupon Type0,8-Nov-21,Industry Group3,Industry Sector3,Industry SubGroup3,Issuer Name3,Ticker3,Country2,Stripe 6
ISIN13,sp_rating3,moody_rating3,Currency0,N,Seniority0,N,2,25-Sep-12,Collateral Type2,Coupon Frequency0,Coupon Type0,16-Dec-19,Industry Group6,Industry Sector4,Industry SubGroup6,Issuer Name6,Ticker6,Country2,Stripe 5
ISIN14,sp_rating3,moody_rating3,Currency0,N,Seniority0,N,2,23-Jan-13,Collateral Type2,Coupon Frequency0,Coupon Type0,24-Jan-33,Industry Group6,Industry Sector4,Industry SubGroup6,Issuer Name6,Ticker6,Country2,Stripe 5
ISIN15,sp_rating0,,Currency3,N,Seniority1,Y,2,21-Mar-13,Collateral Type1,Coupon Frequency1,Coupon Type1,21-Mar-49,Industry Group2,Industry Sector2,Industry SubGroup7,Issuer Name7,Ticker7,Country2,Stripe 10
ISIN16,sp_rating3,moody_rating3,Currency2,N,Seniority0,N,2,24-Sep-13,Collateral Type2,Coupon Frequency0,Coupon Type0,24-Sep-25,Industry Group6,Industry Sector4,Industry SubGroup6,Issuer Name6,Ticker6,Country2,Stripe 9
ISIN17,sp_rating3,moody_rating3,Currency0,N,Seniority0,N,2,20-Apr-15,Collateral Type2,Coupon Frequency0,Coupon Type0,20-Apr-23,Industry Group6,Industry Sector4,Industry SubGroup6,Issuer Name6,Ticker6,Country2,Stripe 5
ISIN18,sp_rating0,,Currency0,N,Seniority2,Y,2,31-Mar-15,Collateral Type3,Coupon Frequency0,Coupon Type1,30-Jun-47,Industry Group2,Industry Sector2,Industry SubGroup7,Issuer Name7,Ticker7,Country2,Stripe 10
ISIN19,sp_rating4,moody_rating4,Currency4,N,Seniority0,N,2,7-Mar-12,Collateral Type2,Coupon Frequency0,Coupon Type0,7-Sep-15,Industry Group7,Industry Sector5,Industry SubGroup8,Issuer Name8,Ticker8,Country3,Stripe 7
ISIN20,sp_rating4,moody_rating5,Currency4,N,Seniority0,N,2,23-Nov-12,Collateral Type2,Coupon Frequency0,Coupon Type0,23-Nov-16,Industry Group7,Industry Sector5,Industry SubGroup8,Issuer Name8,Ticker8,Country3,Stripe 7
ISIN21,sp_rating0,moody_rating2,Currency0,N,Seniority2,Y,2,13-Feb-14,Collateral Type3,Coupon Frequency0,Coupon Type1,12-Feb-26,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name9,Ticker9,Country4,Stripe 3
ISIN22,sp_rating0,,Currency3,N,Seniority2,N,2,15-May-14,Collateral Type3,Coupon Frequency0,Coupon Type0,15-May-24,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name9,Ticker9,Country4,Stripe 3
ISIN23,sp_rating2,,Currency0,N,Seniority1,Y,2,19-Feb-15,Collateral Type1,Coupon Frequency0,Coupon Type1,19-Feb-49,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name10,Ticker9,Country4,Stripe 3
ISIN24,sp_rating2,,Currency3,N,Seniority1,Y,2,19-Feb-15,Collateral Type1,Coupon Frequency0,Coupon Type1,19-Feb-49,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name10,Ticker9,Country4,Stripe 3
ISIN25,sp_rating2,,Currency3,N,Seniority1,Y,2,19-Feb-15,Collateral Type1,Coupon Frequency0,Coupon Type1,19-Feb-49,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name10,Ticker9,Country4,Stripe 3
