ISIN,Risk_Stripe
ISIN13508,Stripe0
ISIN13513,Stripe6
ISIN13514,Stripe6
ISIN13515,Stripe6
ISIN13520,Stripe1
ISIN13521,Stripe1
ISIN13522,Stripe1
ISIN13523,Stripe1
ISIN13524,Stripe0
ISIN13526,Stripe5
ISIN13527,Stripe5
ISIN13528,Stripe5
ISIN13529,Stripe5
ISIN13530,Stripe5
ISIN13531,Stripe5
ISIN13532,Stripe5
ISIN13533,Stripe5
ISIN13534,Stripe5
ISIN13535,Stripe5
ISIN13536,Stripe5
ISIN13537,Stripe5
ISIN13538,Stripe5
ISIN13539,Stripe5
ISIN13540,Stripe5
ISIN13541,Stripe5
ISIN13542,Stripe6
ISIN13544,Stripe6
ISIN13545,Stripe5
ISIN13546,Stripe5
ISIN13547,Stripe5
ISIN13548,Stripe0
ISIN13549,Stripe0
ISIN13550,Stripe0
ISIN13551,Stripe0
ISIN13552,Stripe0
ISIN13553,Stripe0
ISIN13554,Stripe0
ISIN13555,Stripe0
ISIN13556,Stripe0
ISIN13557,Stripe0
ISIN13558,Stripe0
ISIN13559,Stripe0
ISIN13560,Stripe5
ISIN13561,Stripe5
ISIN13562,Stripe5
ISIN13563,Stripe5
ISIN13564,Stripe6
ISIN13565,Stripe6
ISIN13566,Stripe6
ISIN13567,Stripe6
ISIN13568,Stripe6
ISIN13569,Stripe6
ISIN13570,Stripe5
ISIN13571,Stripe5
ISIN13572,Stripe6
ISIN13573,Stripe6
ISIN13574,Stripe6
ISIN13575,Stripe6
ISIN13576,Stripe6
ISIN13577,Stripe5
ISIN13578,Stripe5
ISIN13579,Stripe0
ISIN13580,Stripe0
ISIN13581,Stripe8
ISIN13582,Stripe5
ISIN13583,Stripe2
ISIN13584,Stripe0
ISIN13585,Stripe0
ISIN13586,Stripe5
ISIN13587,Stripe8
ISIN13588,Stripe5
ISIN13589,Stripe5
ISIN13590,Stripe5
ISIN13591,Stripe5
ISIN13592,Stripe5
ISIN13593,Stripe5
ISIN13594,Stripe5
ISIN13595,Stripe5
ISIN13596,Stripe5
ISIN13597,Stripe5
ISIN13598,Stripe5
ISIN13599,Stripe5
ISIN13600,Stripe5
ISIN13601,Stripe0
ISIN13602,Stripe0
ISIN13603,Stripe5
ISIN13604,Stripe5
ISIN13605,Stripe5
ISIN13606,Stripe0
ISIN13607,Stripe0
ISIN13608,Stripe0
ISIN13609,Stripe0
ISIN13610,Stripe0
ISIN13611,Stripe0
ISIN13612,Stripe0
ISIN13613,Stripe0
ISIN13614,Stripe5
ISIN13615,Stripe5
ISIN13616,Stripe5
ISIN13617,Stripe5
ISIN13618,Stripe5
ISIN13619,Stripe5
ISIN13620,Stripe5
ISIN13621,Stripe5
ISIN13622,Stripe5
ISIN13623,Stripe5
ISIN13624,Stripe5
ISIN13625,Stripe5
ISIN13627,Stripe5
ISIN13639,Stripe5
ISIN13642,Stripe2
ISIN13643,Stripe2
ISIN13644,Stripe5
ISIN13645,Stripe0
ISIN13646,Stripe0
ISIN13647,Stripe0
ISIN13649,Stripe0
ISIN13650,Stripe0
ISIN13651,Stripe0
ISIN13652,Stripe0
ISIN13655,Stripe0
ISIN13656,Stripe0
ISIN13657,Stripe0
ISIN13658,Stripe0
ISIN13659,Stripe0
ISIN13660,Stripe0
ISIN13663,Stripe0
ISIN13664,Stripe0
ISIN13665,Stripe0
ISIN13666,Stripe0
ISIN13667,Stripe0
ISIN13668,Stripe0
ISIN13669,Stripe0
ISIN13670,Stripe0
ISIN13671,Stripe0
ISIN13672,Stripe5
ISIN13673,Stripe5
ISIN13674,Stripe5
ISIN13675,Stripe5
ISIN13676,Stripe5
ISIN13677,Stripe5
ISIN13678,Stripe5
ISIN13679,Stripe2
ISIN13680,Stripe2
ISIN13681,Stripe2
ISIN13682,Stripe2
ISIN13683,Stripe2
ISIN13684,Stripe2
ISIN13685,Stripe2
ISIN13686,Stripe2
ISIN13687,Stripe2
ISIN13688,Stripe2
ISIN13689,Stripe2
ISIN13690,Stripe2
ISIN13691,Stripe2
ISIN13692,Stripe2
ISIN13693,Stripe2
ISIN13694,Stripe2
ISIN13695,Stripe2
ISIN13696,Stripe2
ISIN13697,Stripe2
ISIN13698,Stripe2
ISIN13699,Stripe2
ISIN13700,Stripe2
ISIN13701,Stripe5
ISIN13702,Stripe5
ISIN13703,Stripe5
ISIN13704,Stripe5
ISIN13705,Stripe5
ISIN13706,Stripe5
ISIN13707,Stripe5
ISIN13708,Stripe0
ISIN13709,Stripe5
ISIN13710,Stripe5
ISIN13713,Stripe5
ISIN13714,Stripe5
ISIN13715,Stripe6
ISIN13716,Stripe6
ISIN13717,Stripe6
ISIN13718,Stripe6
ISIN13721,Stripe0
ISIN13722,Stripe5
ISIN13723,Stripe0
ISIN13725,Stripe5
ISIN13726,Stripe2
ISIN13727,Stripe2
ISIN13728,Stripe0
ISIN13731,Stripe2
ISIN13732,Stripe5
