ISIN,Risk_Stripe
ISIN906,Stripe 2
ISIN907,Stripe 2
ISIN908,Stripe 1
ISIN909,Stripe 1
ISIN910,Stripe 8
ISIN911,Stripe 8
ISIN912,Stripe 1
ISIN913,Stripe 2
ISIN914,Stripe 1
ISIN915,Stripe 9
ISIN916,Stripe 9
ISIN917,Stripe 1
ISIN918,Stripe 8
ISIN919,Stripe 11
ISIN920,Stripe 1
ISIN921,Stripe 4
ISIN922,Stripe 1
ISIN923,Stripe 1
ISIN924,Stripe 1
ISIN925,Stripe 1
ISIN926,Stripe 1
ISIN927,Stripe 1
ISIN928,Stripe 2
ISIN929,Stripe 2
ISIN930,Stripe 1
ISIN931,Stripe 1
ISIN932,Stripe 10
ISIN933,Stripe 5
ISIN934,Stripe 4
ISIN935,Stripe 1
ISIN936,Stripe 1
ISIN937,Stripe 1
ISIN938,Stripe 1
ISIN939,Stripe 2
ISIN940,Stripe 7
ISIN941,Stripe 1
ISIN942,Stripe 1
ISIN943,Stripe 1
ISIN944,Stripe 9
ISIN945,Stripe 1
ISIN946,Stripe 8
ISIN947,Stripe 8
ISIN948,Stripe 8
ISIN949,Stripe 7
ISIN950,Stripe 1
ISIN951,Stripe 9
ISIN952,Stripe 4
ISIN953,Stripe 5
ISIN954,Stripe 5
ISIN955,Stripe 5
ISIN956,Stripe 8
ISIN957,Stripe 1
ISIN958,Stripe 9
ISIN959,Stripe 9
ISIN960,Stripe 1
ISIN961,Stripe 1
ISIN962,Stripe 2
ISIN963,Stripe 2
ISIN964,Stripe 2
ISIN965,Stripe 1
ISIN966,Stripe 5
ISIN967,Stripe 1
ISIN968,Stripe 9
ISIN969,Stripe 5
ISIN970,Stripe 8
ISIN971,Stripe 2
ISIN972,Stripe 2
ISIN973,Stripe 2
ISIN974,Stripe 2
ISIN975,Stripe 1
ISIN976,Stripe 1
ISIN977,Stripe 8
ISIN978,Stripe 1
ISIN979,Stripe 2
ISIN980,Stripe 1
ISIN981,Stripe 1
ISIN982,Stripe 8
ISIN983,Stripe 1
ISIN984,Stripe 1
ISIN985,Stripe 5
ISIN986,Stripe 1
ISIN987,Stripe 1
ISIN988,Stripe 8
ISIN989,Stripe 1
ISIN990,Stripe 1
ISIN991,Stripe 1
ISIN992,Stripe 1
ISIN993,Stripe 7
ISIN994,Stripe 1
ISIN995,Stripe 1
ISIN996,Stripe 2
ISIN997,Stripe 2
ISIN998,Stripe 1
ISIN999,Stripe 2
ISIN1000,Stripe 1
ISIN1001,Stripe 1
ISIN1002,Stripe 1
ISIN1003,Stripe 1
ISIN1004,Stripe 4
ISIN1005,Stripe 5
ISIN1006,Stripe 5
ISIN1007,Stripe 4
ISIN1008,Stripe 1
ISIN1009,Stripe 1
ISIN1010,Stripe 1
ISIN1011,Stripe 1
ISIN1012,Stripe 1
ISIN1013,Stripe 9
ISIN1014,Stripe 1
ISIN1015,Stripe 2
ISIN1016,Stripe 1
ISIN1017,Stripe 2
ISIN1018,Stripe 2
ISIN1019,Stripe 4
ISIN1020,Stripe 2
ISIN1021,Stripe 2
ISIN1022,Stripe 1
ISIN1023,Stripe 2
ISIN1024,Stripe 9
ISIN1025,Stripe 2
ISIN1026,Stripe 2
ISIN1027,Stripe 9
ISIN1028,Stripe 2
ISIN1029,Stripe 2
ISIN1030,Stripe 5
ISIN1031,Stripe 1
ISIN1032,Stripe 4
ISIN1033,Stripe 1
ISIN1034,Stripe 1
ISIN1035,Stripe 10
ISIN1036,Stripe 1
ISIN1037,Stripe 1
ISIN1038,Stripe 1
ISIN1039,Stripe 1
ISIN1040,Stripe 9
ISIN1041,Stripe 4
ISIN1042,Stripe 1
ISIN1043,Stripe 1
ISIN1044,Stripe 1
ISIN1045,Stripe 1
ISIN1046,Stripe 1
ISIN1047,Stripe 1
ISIN1048,Stripe 0
ISIN1049,Stripe 1
ISIN1050,Stripe 1
ISIN1051,Stripe 4
ISIN1052,Stripe 1
ISIN1053,Stripe 2
ISIN1054,Stripe 1
ISIN1055,Stripe 1
ISIN1056,Stripe 1
ISIN1057,Stripe 7
ISIN1058,Stripe 8
ISIN1059,Stripe 1
ISIN1060,Stripe 7
ISIN1061,Stripe 4
ISIN1062,Stripe 4
ISIN1063,Stripe 1
ISIN1064,Stripe 2
ISIN1065,Stripe 1
ISIN1066,Stripe 5
ISIN1067,Stripe 1
ISIN1068,Stripe 1
ISIN1069,Stripe 1
ISIN1070,Stripe 9
ISIN1071,Stripe 8
ISIN1072,Stripe 8
ISIN1073,Stripe 4
ISIN1074,Stripe 2
ISIN1075,Stripe 1
ISIN1076,Stripe 1
ISIN1077,Stripe 5
ISIN1078,Stripe 1
ISIN1079,Stripe 1
ISIN1080,Stripe 4
ISIN1081,Stripe 2
ISIN1082,Stripe 1
ISIN1083,Stripe 1
ISIN1084,Stripe 1
ISIN1085,Stripe 1
ISIN1086,Stripe 4
ISIN1087,Stripe 2
ISIN1088,Stripe 5
ISIN1089,Stripe 9
ISIN1090,Stripe 9
ISIN1091,Stripe 11
ISIN1092,Stripe 1
ISIN1093,Stripe 7
ISIN1094,Stripe 7
ISIN1095,Stripe 2
ISIN1096,Stripe 4
ISIN1097,Stripe 9
ISIN1098,Stripe 1
ISIN1099,Stripe 1
ISIN1100,Stripe 2
ISIN1101,Stripe 1
ISIN1102,Stripe 9
ISIN1103,Stripe 4
ISIN1104,Stripe 8
ISIN1105,Stripe 8
ISIN1106,Stripe 1
ISIN1107,Stripe 8
ISIN1108,Stripe 4
ISIN1109,Stripe 4
ISIN1110,Stripe 1
ISIN1111,Stripe 1
ISIN1112,Stripe 1
ISIN1113,Stripe 7
ISIN1114,Stripe 7
ISIN1115,Stripe 1
ISIN1116,Stripe 1
ISIN1117,Stripe 1
ISIN1118,Stripe 7
ISIN1119,Stripe 1
ISIN1120,Stripe 1
ISIN1121,Stripe 1
ISIN1122,Stripe 1
ISIN1123,Stripe 5
ISIN1124,Stripe 1
ISIN1125,Stripe 1
ISIN1126,Stripe 2
ISIN1127,Stripe 2
ISIN1128,Stripe 4
ISIN1129,Stripe 5
ISIN1130,Stripe 1
ISIN1131,Stripe 9
ISIN1132,Stripe 2
ISIN1133,Stripe 2
ISIN1134,Stripe 2
ISIN1135,Stripe 2
ISIN1136,Stripe 2
ISIN1137,Stripe 1
ISIN1138,Stripe 1
ISIN1139,Stripe 2
ISIN1140,Stripe 8
ISIN1141,Stripe 8
ISIN1142,Stripe 1
ISIN1143,Stripe 9
ISIN1144,Stripe 2
ISIN1145,Stripe 1
ISIN1146,Stripe 7
ISIN1147,Stripe 1
ISIN1148,Stripe 3
ISIN1149,Stripe 1
ISIN1150,Stripe 5
ISIN1151,Stripe 5
ISIN1152,Stripe 7
ISIN1153,Stripe 1
ISIN1154,Stripe 1
ISIN1155,Stripe 7
ISIN1156,Stripe 5
ISIN1157,Stripe 1
ISIN1158,Stripe 1
ISIN1159,Stripe 1
ISIN1160,Stripe 5
ISIN1161,Stripe 4
ISIN1162,Stripe 1
ISIN1163,Stripe 2
ISIN1164,Stripe 2
ISIN1165,Stripe 1
ISIN1166,Stripe 1
ISIN1167,Stripe 1
ISIN1168,Stripe 1
ISIN1169,Stripe 1
ISIN1170,Stripe 5
ISIN1171,Stripe 7
ISIN1172,Stripe 5
ISIN1173,Stripe 1
ISIN1174,Stripe 2
ISIN1175,Stripe 1
ISIN1176,Stripe 8
ISIN1177,Stripe 5
ISIN1178,Stripe 8
ISIN1179,Stripe 8
ISIN1180,Stripe 4
ISIN1181,Stripe 5
ISIN1182,Stripe 8
ISIN1183,Stripe 1
ISIN1184,Stripe 2
ISIN1185,Stripe 1
ISIN1186,Stripe 1
ISIN1187,Stripe 1
ISIN1188,Stripe 4
ISIN1189,Stripe 1
ISIN1190,Stripe 1
ISIN1191,Stripe 8
ISIN1192,Stripe 8
ISIN1193,Stripe 1
ISIN1194,Stripe 5
ISIN1195,Stripe 5
ISIN1196,Stripe 5
ISIN1197,Stripe 9
ISIN1198,Stripe 1
ISIN1199,Stripe 8
ISIN1200,Stripe 8
ISIN1201,Stripe 2
ISIN1202,Stripe 2
ISIN1203,Stripe 1
ISIN1204,Stripe 0
ISIN1205,Stripe 1
ISIN1206,Stripe 1
ISIN1207,Stripe 8
ISIN1208,Stripe 1
ISIN1209,Stripe 5
ISIN1210,Stripe 5
ISIN1211,Stripe 3
ISIN1212,Stripe 1
ISIN1213,Stripe 1
ISIN1214,Stripe 1
ISIN1215,Stripe 5
ISIN1216,Stripe 7
ISIN1217,Stripe 1
ISIN1218,Stripe 1
ISIN1219,Stripe 1
ISIN1220,Stripe 5
ISIN1221,Stripe 1
ISIN1222,Stripe 1
ISIN1223,Stripe 5
ISIN1224,Stripe 5
ISIN1225,Stripe 1
ISIN1226,Stripe 1
ISIN1227,Stripe 7
ISIN1228,Stripe 1
ISIN1229,Stripe 1
ISIN1230,Stripe 4
ISIN1231,Stripe 4
ISIN1232,Stripe 5
ISIN1233,Stripe 4
ISIN1234,Stripe 1
ISIN1235,Stripe 2
ISIN1236,Stripe 4
ISIN1237,Stripe 2
ISIN1238,Stripe 1
ISIN1239,Stripe 1
ISIN1240,Stripe 1
ISIN1241,Stripe 2
ISIN1242,Stripe 8
ISIN1243,Stripe 2
ISIN1244,Stripe 1
ISIN1245,Stripe 4
ISIN1246,Stripe 1
ISIN1247,Stripe 1
ISIN1248,Stripe 1
ISIN1249,Stripe 1
ISIN1250,Stripe 7
ISIN1251,Stripe 7
ISIN1252,Stripe 1
ISIN1253,Stripe 1
ISIN1254,Stripe 1
ISIN1255,Stripe 8
ISIN1256,Stripe 1
ISIN1257,Stripe 8
ISIN1258,Stripe 1
ISIN1259,Stripe 2
ISIN1260,Stripe 1
ISIN1261,Stripe 1
ISIN1262,Stripe 1
ISIN1263,Stripe 1
ISIN1264,Stripe 1
ISIN1265,Stripe 1
ISIN1266,Stripe 2
ISIN1267,Stripe 4
