ISIN,Risk_Stripe
ISIN13508,Stripe1
ISIN13513,Stripe6
ISIN13514,Stripe6
ISIN13515,Stripe6
ISIN13520,Stripe14
ISIN13521,Stripe14
ISIN13522,Stripe14
ISIN13523,Stripe14
ISIN13524,Stripe5
ISIN13526,Stripe4
ISIN13527,Stripe4
ISIN13528,Stripe4
ISIN13529,Stripe4
ISIN13530,Stripe4
ISIN13531,Stripe4
ISIN13532,Stripe4
ISIN13533,Stripe4
ISIN13534,Stripe4
ISIN13535,Stripe4
ISIN13536,Stripe4
ISIN13537,Stripe4
ISIN13538,Stripe4
ISIN13539,Stripe4
ISIN13540,Stripe4
ISIN13541,Stripe1
ISIN13542,Stripe6
ISIN13544,Stripe6
ISIN13545,Stripe6
ISIN13546,Stripe0
ISIN13547,Stripe0
ISIN13548,Stripe1
ISIN13549,Stripe1
ISIN13550,Stripe1
ISIN13551,Stripe12
ISIN13552,Stripe12
ISIN13553,Stripe12
ISIN13554,Stripe12
ISIN13555,Stripe12
ISIN13556,Stripe12
ISIN13557,Stripe1
ISIN13558,Stripe1
ISIN13559,Stripe1
ISIN13560,Stripe1
ISIN13561,Stripe0
ISIN13562,Stripe6
ISIN13563,Stripe6
ISIN13564,Stripe5
ISIN13565,Stripe5
ISIN13566,Stripe5
ISIN13567,Stripe5
ISIN13568,Stripe5
ISIN13569,Stripe5
ISIN13570,Stripe0
ISIN13571,Stripe1
ISIN13572,Stripe5
ISIN13573,Stripe5
ISIN13574,Stripe5
ISIN13575,Stripe5
ISIN13576,Stripe5
ISIN13577,Stripe5
ISIN13578,Stripe5
ISIN13579,Stripe12
ISIN13580,Stripe12
ISIN13581,Stripe8
ISIN13582,Stripe0
ISIN13583,Stripe2
ISIN13584,Stripe1
ISIN13585,Stripe1
ISIN13586,Stripe5
ISIN13587,Stripe8
ISIN13588,Stripe0
ISIN13589,Stripe5
ISIN13590,Stripe5
ISIN13591,Stripe5
ISIN13592,Stripe5
ISIN13593,Stripe5
ISIN13594,Stripe5
ISIN13595,Stripe5
ISIN13596,Stripe5
ISIN13597,Stripe5
ISIN13598,Stripe5
ISIN13599,Stripe5
ISIN13600,Stripe5
ISIN13601,Stripe1
ISIN13602,Stripe1
ISIN13603,Stripe6
ISIN13604,Stripe6
ISIN13605,Stripe1
ISIN13606,Stripe1
ISIN13607,Stripe1
ISIN13608,Stripe1
ISIN13609,Stripe1
ISIN13610,Stripe1
ISIN13611,Stripe1
ISIN13612,Stripe1
ISIN13613,Stripe1
ISIN13614,Stripe1
ISIN13615,Stripe1
ISIN13616,Stripe1
ISIN13617,Stripe1
ISIN13618,Stripe1
ISIN13619,Stripe1
ISIN13620,Stripe1
ISIN13621,Stripe1
ISIN13622,Stripe1
ISIN13623,Stripe1
ISIN13624,Stripe1
ISIN13625,Stripe1
ISIN13627,Stripe1
ISIN13639,Stripe1
ISIN13642,Stripe4
ISIN13643,Stripe4
ISIN13644,Stripe1
ISIN13645,Stripe2
ISIN13646,Stripe2
ISIN13647,Stripe2
ISIN13649,Stripe1
ISIN13650,Stripe1
ISIN13651,Stripe1
ISIN13652,Stripe1
ISIN13655,Stripe1
ISIN13656,Stripe1
ISIN13657,Stripe1
ISIN13658,Stripe1
ISIN13659,Stripe1
ISIN13660,Stripe1
ISIN13663,Stripe1
ISIN13664,Stripe1
ISIN13665,Stripe1
ISIN13666,Stripe1
ISIN13667,Stripe1
ISIN13668,Stripe1
ISIN13669,Stripe1
ISIN13670,Stripe1
ISIN13671,Stripe1
ISIN13672,Stripe5
ISIN13673,Stripe0
ISIN13674,Stripe0
ISIN13675,Stripe0
ISIN13676,Stripe0
ISIN13677,Stripe0
ISIN13678,Stripe0
ISIN13679,Stripe5
ISIN13680,Stripe5
ISIN13681,Stripe5
ISIN13682,Stripe5
ISIN13683,Stripe5
ISIN13684,Stripe5
ISIN13685,Stripe5
ISIN13686,Stripe5
ISIN13687,Stripe5
ISIN13688,Stripe5
ISIN13689,Stripe5
ISIN13690,Stripe5
ISIN13691,Stripe5
ISIN13692,Stripe5
ISIN13693,Stripe5
ISIN13694,Stripe5
ISIN13695,Stripe5
ISIN13696,Stripe5
ISIN13697,Stripe5
ISIN13698,Stripe5
ISIN13699,Stripe5
ISIN13700,Stripe5
ISIN13701,Stripe0
ISIN13702,Stripe0
ISIN13703,Stripe0
ISIN13704,Stripe0
ISIN13705,Stripe0
ISIN13706,Stripe0
ISIN13707,Stripe2
ISIN13708,Stripe2
ISIN13709,Stripe5
ISIN13710,Stripe5
ISIN13713,Stripe1
ISIN13714,Stripe1
ISIN13715,Stripe5
ISIN13716,Stripe5
ISIN13717,Stripe5
ISIN13718,Stripe5
ISIN13721,Stripe1
ISIN13722,Stripe0
ISIN13723,Stripe6
ISIN13725,Stripe5
ISIN13726,Stripe2
ISIN13727,Stripe2
ISIN13728,Stripe1
ISIN13731,Stripe5
ISIN13732,Stripe0
ISIN13733,Stripe5
ISIN13734,Stripe5
ISIN13735,Stripe5
ISIN13736,Stripe5
ISIN13737,Stripe5
ISIN13738,Stripe5
ISIN13739,Stripe5
ISIN13740,Stripe5
ISIN13741,Stripe5
ISIN13742,Stripe5
ISIN13743,Stripe5
ISIN13744,Stripe5
ISIN13745,Stripe5
ISIN13746,Stripe5
ISIN13747,Stripe5
ISIN13748,Stripe5
ISIN13749,Stripe5
ISIN13750,Stripe0
ISIN13751,Stripe1
ISIN13752,Stripe1
ISIN13753,Stripe1
ISIN13754,Stripe1
ISIN13755,Stripe1
ISIN13756,Stripe1
ISIN13768,Stripe5
ISIN13769,Stripe5
ISIN13770,Stripe5
ISIN13771,Stripe5
ISIN13772,Stripe5
ISIN13773,Stripe5
ISIN13774,Stripe5
ISIN13775,Stripe5
ISIN13776,Stripe5
ISIN13778,Stripe2
ISIN13779,Stripe2
ISIN13780,Stripe2
ISIN13781,Stripe2
ISIN13782,Stripe2
ISIN13783,Stripe2
ISIN13784,Stripe1
ISIN13786,Stripe2
ISIN13787,Stripe6
ISIN13788,Stripe5
ISIN13789,Stripe5
ISIN13790,Stripe4
ISIN13791,Stripe1
ISIN13792,Stripe1
ISIN13793,Stripe2
ISIN13794,Stripe0
ISIN13795,Stripe0
ISIN13796,Stripe0
ISIN13797,Stripe0
ISIN13798,Stripe2
ISIN13799,Stripe2
ISIN13800,Stripe2
ISIN13801,Stripe2
ISIN13802,Stripe2
ISIN13803,Stripe0
ISIN13804,Stripe0
ISIN13805,Stripe5
ISIN13806,Stripe6
ISIN13807,Stripe5
ISIN13808,Stripe5
ISIN13809,Stripe5
ISIN13810,Stripe5
ISIN13811,Stripe1
ISIN13812,Stripe1
ISIN13813,Stripe1
ISIN13814,Stripe1
ISIN13815,Stripe1
ISIN13816,Stripe1
ISIN13817,Stripe1
ISIN13818,Stripe5
ISIN13819,Stripe5
ISIN13820,Stripe5
ISIN13821,Stripe0
ISIN13822,Stripe0
ISIN13823,Stripe0
ISIN13824,Stripe0
ISIN13826,Stripe5
ISIN13827,Stripe2
ISIN13828,Stripe3
ISIN13830,Stripe2
ISIN13831,Stripe2
ISIN13832,Stripe2
ISIN13833,Stripe2
ISIN13834,Stripe0
ISIN13836,Stripe2
ISIN13838,Stripe1
