ISIN,SP_Rating,Moody_Rating,Currency,Is_Emerging_Market,Seniority,Callable,Days_to_Settle,Issue_Date,Collateral_Type,Coupon_Frequency,Coupon_Type,Maturity_Date,Industry_Group,Industry_Sector,Industry_SubGroup,Issuer_Name,Ticker,Country_Of_Domicile,Risk_Stripe
ISIN0,sp rating0,moody rating0,Currency0,N,Seniority0,Y,2,25-Jan-13,Collateral Type0,Coupon Frequency0,Coupon Type0,25-Jan-23,Industry Group0,Industry Sector0,Industry SubGroup0,Issuer Name0,Ticker0,Country0,Stripe 0
ISIN2,sp rating2,moody rating1,Currency0,N,Seniority2,N,2,20-Jun-13,Collateral Type2,Coupon Frequency0,Coupon Type1,15-Jun-23,Industry Group2,Industry Sector1,Industry SubGroup2,Issuer Name2,Ticker2,Country0,Stripe 0
ISIN3,sp rating2,moody rating1,Currency0,N,Seniority2,N,2,20-Jun-13,Collateral Type2,Coupon Frequency0,Coupon Type1,15-Jun-23,Industry Group2,Industry Sector1,Industry SubGroup2,Issuer Name2,Ticker2,Country0,Stripe 0
ISIN5,sp rating3,moody rating2,Currency0,N,Seniority2,Y,3,17-Feb-11,Collateral Type2,Coupon Frequency0,Coupon Type1,17-Feb-21,Industry Group4,Industry Sector3,Industry SubGroup4,Issuer Name4,Ticker4,Country1,Stripe 0
ISIN13,sp rating1,moody rating0,Currency0,N,Seniority0,Y,2,22-May-13,Collateral Type0,Coupon Frequency2,Coupon Type0,22-May-23,Industry Group0,Industry Sector0,Industry SubGroup5,Issuer Name6,Ticker6,Country2,Stripe 1
ISIN14,sp rating1,,Currency0,N,Seniority0,N,2,15-May-14,Collateral Type0,Coupon Frequency2,Coupon Type1,15-May-24,Industry Group0,Industry Sector0,Industry SubGroup5,Issuer Name6,Ticker6,Country2,Stripe 1
ISIN18,sp rating4,moody rating3,Currency0,N,Seniority4,N,2,15-Mar-07,Collateral Type5,Coupon Frequency0,Coupon Type1,16-Mar-37,Industry Group0,Industry Sector0,Industry SubGroup0,Issuer Name8,Ticker7,Country3,Stripe 0
ISIN19,sp rating1,moody rating4,Currency0,N,Seniority4,Y,2,24-Sep-12,Collateral Type6,Coupon Frequency0,Coupon Type1,15-Sep-19,Industry Group5,Industry Sector4,Industry SubGroup6,Issuer Name9,Ticker8,Country4,Stripe 0
ISIN20,sp rating5,moody rating5,Currency0,N,Seniority2,N,2,12-Mar-13,Collateral Type2,Coupon Frequency2,Coupon Type1,12-Mar-18,Industry Group6,Industry Sector5,Industry SubGroup7,Issuer Name10,Ticker9,Country5,Stripe 2
ISIN21,sp rating5,moody rating6,Currency0,N,Seniority2,N,2,5-Apr-13,Collateral Type2,Coupon Frequency2,Coupon Type1,5-Apr-17,Industry Group7,Industry Sector4,Industry SubGroup8,Issuer Name11,Ticker10,Country4,Stripe 0
